name,latitude,longitude,type,rating,comment,status
Pelham Bay Park,40.86971122,-73.79034285,A,N/A,"A, Under Tree",Active
Van Cortlandt Park,40.89001422,-73.8812388,D,N/A,"D, Out in Open, Under Tree",Active
Mellett Playground,40.59701927,-73.95770081,A,N/A,"A, Out in Open",Active
Sheltering Arms Playground,40.81533402,-73.95592225,C,N/A,"C, In Playground",Active
Tremont Park,40.84433373,-73.89471523,C,N/A,"C, In Playground, Under Tree",Active
Juniper Valley Park,40.71966132,-73.8828756,E Wheelchair,N/A,"E Wheelchair, Near Ballfield",Active
Brookville Park,40.66279276,-73.74202931,A,N/A,"A, Out in Open",Active
Coleman Playground,40.71127354,-73.99409379,A,N/A,"A, Near Ballfield",Active
Carroll Park,40.68095437,-73.99492272,A,N/A,"A, In Playground",Active
Bicentennial Veterans Memorial Park,40.82337667,-73.81339928,A,N/A,"A, Near Ballfield, Out in Open",Active
Sixteen Sycamores Playground,40.68686719,-73.98134397,C,N/A,"C, In Playground, Out in Open",Active
Morgan Playground,40.83190697,-73.90755652,C,N/A,"C, In Shade, Under Tree",Active
Silver Lake Park,40.62581569,-74.09293105,Other,N/A,"Other, Under Tree",Active
Ethan Allen Playground,40.65575523,-73.88656429,D,N/A,"D, Under Tree",Active
Parade Ground,40.65159403,-73.96541674,E Wheelchair,N/A,"E Wheelchair, In Playground, Out in Open",Active
Parade Ground,40.65189496,-73.96642667,A,N/A,"A, Out in Open, Near Ballfield",Active
Franklin D. Roosevelt Boardwalk and Beach,40.57414417,-74.08417351,D,N/A,"D, In Playground",Active
Vidalia Park,40.84377971,-73.88164445,D,N/A,"D, Out in Open",Active
Owl's Head Park,40.63938499,-74.03082385,A,N/A,"A, In Playground",Active
Virginia Playground,40.8341447,-73.86212552,A,N/A,A,Active
St. Mary's Park,40.81034477,-73.91030994,A,N/A,"A, Out in Open, In Playground",Active
Flushing Meadows Corona Park,40.74482107,-73.8387537,D,N/A,"D, Out in Open",Active
Korean War Veterans Plaza,40.69414505,-73.99004689,E Wheelchair,N/A,"E Wheelchair, Out in Open",Active
Marine Park,40.60686687,-73.93755297,Bottle Filler High Low,N/A,"Bottle Filler High Low, Near Ballfield",Active
Torsney Playground,40.74726043,-73.92176541,F,N/A,"F, Under Tree, Just Outside Playground",Active
Washington Square Park,40.73031602,-73.99765616,E Wheelchair,N/A,"E Wheelchair, Under Tree",Active
Central Park,40.7761619,-73.9754883,E Wheelchair,N/A,"E Wheelchair, Under Tree, Out in Open, In Shade",Active
Randall's Island Park,40.79273258,-73.91592932,Pedestal,N/A,"Pedestal, Out in Open, Near Ballfield",Active
James Weldon Johnson Playground,40.79701195,-73.94160241,Bottle Filler,N/A,"Bottle Filler, Near Ballfield, Just Outside Playground",Active
Grand Central Parkway Extension,40.76025785,-73.8550917,C,N/A,"C, Under tree",Active
Franklin D. Roosevelt Boardwalk and Beach,40.57473638,-74.08219502,A,N/A,"A, Near Ballfield",Active
Riverside Park,40.79156382,-73.9794401,E Wheelchair,N/A,"E Wheelchair, Out in Open, Under Tree",Active
